Using OpenSHMEM version 1.3
Created all test list.
Will be running with 128 different tests
Will be running with 22 different size configurations
Using OpenSHMEM version 1.3
Running tests

#---------------------------------------------------
# Benchmarking shmem_local_read 
# #processes = 2
#---------------------------------------------------
       #bytes  #repetitions     t_min[nsec]     t_max[nsec]       t_avg[nsec]      Bw_aggregated[MB/sec]
         1024          1000          744876          936009          748054.14                      8.83
         2048          1000         1485544         1524366         1491429.27                      8.85
         4096          1000         2968520         3241197         2979774.55                      8.86
         8192          1000         5932198         6307851         5956373.67                      8.87
        16384          1000        11876635        12461326        11916664.69                      8.86
        32768           500        23768356        24399380        23850655.81                      8.86
        65536           500        47643387        48262596        47739369.43                      8.85
       131072           500        95386435        96052825        95526345.99                      8.85
       262144           500       190846125       191638140       191097360.38                      8.84
       524288           500       381976429       383069907       382236317.97                      8.84
      1048576           250       764086809       765820782       764494608.44                      8.84
      2097152           250      1528272867      1530147455      1529066616.68                      8.84
      4194304           250      3056897199      3083859350      3057979761.23                      8.84
      8388608           100      6115446745      6142519375      6116680930.57                      8.84
     16777216           100     12233487743     12260164393     12235335381.28                      8.84

#---------------------------------------------------
# Benchmarking shmem_int_iput 
# #processes = 2
#---------------------------------------------------
       #bytes  #repetitions     t_min[nsec]     t_max[nsec]       t_avg[nsec]      Bw_aggregated[MB/sec]
            8          1000            6750           98160            7047.92                      7.32
           16          1000            6997           39407            7198.49                     14.33
           32          1000            7522          117723            7879.11                     26.18
           64          1000            8580           34833            8815.28                     46.81
          128          1000           10782           32314           11016.28                     74.91
          256          1000           15054           40673           15318.94                    107.74
          512          1000           21445           48314           26374.21                    125.16
         1024          1000           47880           84346           76790.95                     85.97
         2048          1000          152629          187280          173632.38                     76.04
         4096          1000          330354          485833          364117.37                     72.53
         8192          1000          679848          928901          750055.45                     70.42
        16384          1000         1369121         1823205         1526933.57                     69.18
        32768           500         2746924         3380852         3076700.36                     68.66
        65536           500         5472025         6547850         6165819.15                     68.53
       131072           500        11861672        12826768        12386431.84                     68.22
       262144           500        23232749        25211743        24798891.27                     68.15
       524288           500        48094775        50293464        49625221.28                     68.11
      1048576           250        96517000       100128049        99247437.56                     68.12
      2097152           250       175783841       200639046       199306657.82                     67.84
      4194304           250       348141068       401640318       398440317.68                     67.87
      8388608           100       776684108       801294519       798051637.74                     67.77
     16777216           100      1455565580      1599834286      1593876504.24                     67.86

#---------------------------------------------------
# Benchmarking shmem_long_iput 
# #processes = 2
#---------------------------------------------------
       #bytes  #repetitions     t_min[nsec]     t_max[nsec]       t_avg[nsec]      Bw_aggregated[MB/sec]
            8          1000            6596           63556            6837.43                      7.54
           16          1000            6833           10775            6964.53                     14.81
           32          1000            7142           36934            7335.27                     28.13
           64          1000            7839           12205            7980.77                     51.70
          128          1000            9285           13138            9496.38                     86.90
          256          1000           12119           38078           12394.49                    133.16
          512          1000           17488           46328           18586.38                    177.60
         1024          1000           29524           55662           32020.50                    206.18
         2048          1000           58798           88912           71273.15                    185.26
         4096          1000          133230          225176          157049.02                    168.15
         8192          1000          293140          388687          315726.34                    167.28
        16384          1000          544566          781867          638420.17                    165.46
        32768           500         1064643         1590985         1330267.56                    158.81
        65536           500         2296457         3068955         2713490.31                    155.71
       131072           500         5034028         5866773         5471827.64                    154.44
       262144           500        10303497        11614990        11006711.99                    153.55
       524288           500        16230880        23061137        21871707.48                    154.55
      1048576           250        43493698        44937802        44193409.90                    152.97
      2097152           250        87961178        90102796        89023376.14                    151.88
      4194304           250       124152709       179779271       175842576.96                    153.78
      8388608           100       354777045       357908785       356428402.60                    151.74
     16777216           100       710365731       716118387       713357855.33                    151.63

#---------------------------------------------------
# Benchmarking shmem_longlong_iput 
# #processes = 2
#---------------------------------------------------
       #bytes  #repetitions     t_min[nsec]     t_max[nsec]       t_avg[nsec]      Bw_aggregated[MB/sec]
            8          1000            6602           81881            6877.79                      7.50
           16          1000            6804           82654            7089.15                     14.55
           32          1000            7127           10450            7283.50                     28.33
           64          1000            7824           34576            8016.93                     51.47
          128          1000            9337           35374            9528.59                     86.61
          256          1000           12111           40496           12392.57                    133.18
          512          1000           17480           94791           18684.92                    176.66
         1024          1000           29864          137546           32374.17                    203.93
         2048          1000           58512           75501           71249.87                    185.32
         4096          1000          142190          366659          156351.65                    168.90
         8192          1000          286049          384987          312265.02                    169.14
        16384          1000          546782          761339          621297.54                    170.02
        32768           500         1109130         1579994         1322692.43                    159.72
        65536           500         2325621         3040271         2691543.46                    156.98
       131072           500         4515512         5877545         5437978.72                    155.40
       262144           500        10511744        11519575        10980311.43                    153.92
       524288           500        21520066        22572074        21977372.03                    153.80
      1048576           250        43160561        44720356        43999462.36                    153.65
      2097152           250        62142112        89744165        88472749.23                    152.82
      4194304           250       126653266       179944066       176722288.51                    153.02
      8388608           100       354614858       358239035       356359580.56                    151.76
     16777216           100       707638906       715678609       712593184.07                    151.79

#---------------------------------------------------
# Benchmarking shmem_float_iput 
# #processes = 2
#---------------------------------------------------
       #bytes  #repetitions     t_min[nsec]     t_max[nsec]       t_avg[nsec]      Bw_aggregated[MB/sec]
            8          1000            6755           78933            6984.75                      7.38
           16          1000            6997           30275            7192.25                     14.34
           32          1000            7553           17582            7696.31                     26.81
           64          1000            8588           26310            8807.90                     46.85
          128          1000           10767           30158           10999.01                     75.03
          256          1000           15039           38463           15345.74                    107.55
          512          1000           21380           37412           26279.35                    125.61
         1024          1000           46539           89858           76781.78                     85.98
         2048          1000          146966          186724          173839.05                     75.95
         4096          1000          334762          381417          362698.94                     72.81
         8192          1000          680061          931085          747784.26                     70.63
        16384          1000         1364223         1742785         1518695.16                     69.55
        32768           500         2736633         3322636         3068646.05                     68.85
        65536           500         5504768         6640756         6171669.46                     68.46
       131072           500        11403113        12805824        12359179.85                     68.37
       262144           500        23397518        25199143        24756295.90                     68.27
       524288           500        36696493        50190308        49113189.36                     68.82
      1048576           250        90181648       100223443        99107111.71                     68.21
      2097152           250       198088565       200753699       199331975.67                     67.83
      4194304           250       397251438       400889912       398957242.91                     67.78
      8388608           100       702257886       801419848       795828211.60                     67.96
     16777216           100      1427844011      1599572358      1593459945.36                     67.88

#---------------------------------------------------
# Benchmarking shmem_double_iput 
# #processes = 2
#---------------------------------------------------
       #bytes  #repetitions     t_min[nsec]     t_max[nsec]       t_avg[nsec]      Bw_aggregated[MB/sec]
            8          1000            6617           37753            6842.70                      7.54
           16          1000            6797           29633            6979.99                     14.78
           32          1000            7142           85103            7437.25                     27.74
           64          1000            7829           32168            8021.50                     51.44
          128          1000            9345           33458            9541.51                     86.49
          256          1000           12142           16568           12375.81                    133.36
          512          1000           17402           49349           18660.38                    176.90
         1024          1000           29966          106361           32193.64                    205.07
         2048          1000           57293           95597           71275.67                    185.25
         4096          1000          135076          221458          156804.57                    168.41
         8192          1000          291481          399472          318614.83                    165.77
        16384          1000          545531          794792          653458.46                    161.65
        32768           500         1076447         1590270         1337208.45                    157.99
        65536           500         2113336         3079639         2706538.11                    156.11
       131072           500         4988352         5850023         5472226.75                    154.42
       262144           500        10489709        11670717        11000699.24                    153.63
       524288           500        21471046        22626101        22059207.16                    153.23
      1048576           250        43488219        44784905        44113844.04                    153.25
      2097152           250        88010764        89956599        88906437.78                    152.08
      4194304           250       176583422       179991364       178421850.08                    151.56
      8388608           100       355310517       358588596       356946276.16                    151.52
     16777216           100       558860286       716090912       708328519.03                    152.71

#---------------------------------------------------
# Benchmarking shmem_longdouble_iput 
# #processes = 2
#---------------------------------------------------
       #bytes  #repetitions     t_min[nsec]     t_max[nsec]       t_avg[nsec]      Bw_aggregated[MB/sec]
            8          1000            6633           88686            6972.31                     14.79
           16          1000            6625           22293            6825.05                     15.11
           32          1000            6950            9761            7087.95                     29.11
           64          1000            7483           82453            7730.02                     53.38
          128          1000            8650           24279            8850.62                     93.24
          256          1000           11014           34846           11252.27                    146.68
          512          1000           15580           41013           16760.25                    196.95
         1024          1000           28406           99466           29623.73                    222.86
         2048          1000           54100          139837           72498.30                    182.13
         4096          1000          138157          227932          160721.66                    164.31
         8192          1000          263621          384678          310813.66                    169.93
        16384          1000          530960          810122          629482.10                    167.81
        32768           500         1071031         1603788         1325695.28                    159.36
        65536           500         2297075         3088903         2707704.35                    156.04
       131072           500         5104687         5891203         5514978.47                    153.23
       262144           500        10536133        11672207        11087893.91                    152.43
       524288           500        21496649        22765925        22237407.22                    152.00
      1048576           250        43702743        45141556        44529208.04                    151.82
      2097152           250        88600668        90924316        89783184.78                    150.59
      4194304           250       176673907       181134110       179761104.75                    150.43
      8388608           100       358164871       361659057       359948376.96                    150.25
     16777216           100       550658633       722709911       715775226.40                    151.12

#---------------------------------------------------
# Benchmarking shmem_iput32 
# #processes = 2
#---------------------------------------------------
       #bytes  #repetitions     t_min[nsec]     t_max[nsec]       t_avg[nsec]      Bw_aggregated[MB/sec]
            8          1000            6726           22202            6899.70                      7.48
           16          1000            6973            9412            7144.18                     14.44
           32          1000            7545           98030            7913.47                     26.07
           64          1000            8609           34238            8813.09                     46.82
          128          1000           10759           36424           11005.98                     74.98
          256          1000           15044           37498           15346.59                    107.55
          512          1000           21422           47524           26379.55                    125.13
         1024          1000           48855          154486           77031.26                     85.70
         2048          1000          149772          235041          173883.28                     75.94
         4096          1000          338222          429706          363154.09                     72.72
         8192          1000          677250          885688          751422.65                     70.29
        16384          1000         1366518         1787295         1524103.90                     69.31
        32768           500         2737868         3447934         3071219.91                     68.79
        65536           500         5469246         6649563         6167089.10                     68.51
       131072           500        11264095        12834935        12370463.02                     68.31
       262144           500        23828069        25230596        24793684.87                     68.17
       524288           500        48429006        50314795        49630726.23                     68.11
      1048576           250        98632117       100488819        99284513.31                     68.09
      2097152           250       198639671       201134378       199551968.62                     67.76
      4194304           250       324940175       401358871       398498878.59                     67.86
      8388608           100       796162302       800845344       798811953.61                     67.70
     16777216           100      1474609168      1599817815      1594434271.22                     67.84

#---------------------------------------------------
# Benchmarking shmem_iput64 
# #processes = 2
#---------------------------------------------------
       #bytes  #repetitions     t_min[nsec]     t_max[nsec]       t_avg[nsec]      Bw_aggregated[MB/sec]
            8          1000            6654           89307            6960.73                      7.41
           16          1000            6789           10520            6930.01                     14.89
           32          1000            7166           10936            7315.61                     28.20
           64          1000            7876           31417            8039.49                     51.32
          128          1000            9329           18037            9535.56                     86.54
          256          1000           12150           35899           12410.82                    132.99
          512          1000           17413           45293           18619.41                    177.29
         1024          1000           29849           54841           32106.19                    205.63
         2048          1000           58273           93774           71256.63                    185.30
         4096          1000          136475          222966          156821.56                    168.39
         8192          1000          287856          392311          320400.49                    164.84
        16384          1000          558534          796422          656053.36                    161.01
        32768           500         1082947         1592269         1340535.87                    157.59
        65536           500         2271974         3074410         2713976.74                    155.68
       131072           500         5099498         5851763         5487038.16                    154.01
       262144           500        10506050        11536322        11006031.35                    153.56
       524288           500        21432779        22519431        22067128.78                    153.18
      1048576           250        43417651        45016582        44207387.29                    152.92
      2097152           250        88060753        90214489        89045619.57                    151.84
      4194304           250       176865316       179599328       178249855.69                    151.71
      8388608           100       354747883       358488361       356754755.04                    151.60
     16777216           100       710568017       716062041       713672029.98                    151.56

#---------------------------------------------------
# Benchmarking shmem_iput128 
# #processes = 2
#---------------------------------------------------
       #bytes  #repetitions     t_min[nsec]     t_max[nsec]       t_avg[nsec]      Bw_aggregated[MB/sec]
            8          1000            6586           24836            6811.91                     15.14
           16          1000            6656          135266            6938.29                     14.87
           32          1000            6947           28156            7107.65                     29.03
           64          1000            7460           11407            7619.84                     54.15
          128          1000            8674           27732            8869.42                     93.04
          256          1000           11061           33811           11269.83                    146.45
          512          1000           15572           36385           16732.76                    197.28
         1024          1000           27036           50129           28993.28                    227.71
         2048          1000           51611           79172           72373.91                    182.44
         4096          1000          126153          224534          159918.78                    165.13
         8192          1000          286512          399930          314495.64                    167.94
        16384          1000          524556          766222          619542.13                    170.50
        32768           500         1063600         1506111         1269015.66                    166.48
        65536           500         2391554         2879540         2571264.15                    164.32
       131072           500         4971046         5535363         5141029.10                    164.37
       262144           500        10108396        10786840        10300506.75                    164.08
       524288           500        20416141        21197049        20684124.85                    163.42
      1048576           250        41066445        42160234        41456315.22                    163.07
      2097152           250        82917213        84766008        83622234.91                    161.69
      4194304           250       146051844       181340654       179463105.43                    150.68
      8388608           100       357972564       361540439       359684318.69                    150.36
     16777216           100       717140726       722350324       719465071.19                    150.34

#---------------------------------------------------
# Benchmarking shmem_short_g 
# #processes = 2
#---------------------------------------------------
       #bytes  #repetitions     t_min[nsec]     t_max[nsec]       t_avg[nsec]      Bw_aggregated[MB/sec]
            8          1000           42025          296603           42790.65                      1.21
           16          1000           83922          183461           84959.61                      1.21
           32          1000          168269          195016          169263.16                      1.22
           64          1000          337913          468855          339402.49                      1.22
          128          1000          676314          866569          679203.92                      1.22
          256          1000         1351799         1628975         1358087.76                      1.22
          512          1000         2704394         2905863         2712667.94                      1.22
         1024          1000         5396002         5894939         5408656.39                      1.22
         2048          1000        10779484        11249311        10803287.10                      1.22
         4096          1000        21524454        22044619        21565048.47                      1.22
         8192          1000        43005139        43614564        43075669.20                      1.23
        16384          1000        85971106        86695444        86094565.75                      1.23
        32768           500       171897210       172980371       172119118.22                      1.23
        65536           500       343778599       345125365       344191320.26                      1.23
       131072           500       687612671       690577730       688333847.69                      1.23
       262144           500      1376046865      1435361571      1410947627.32                      1.20
       524288           500      2838611811      2880426249      2861079096.55                      1.18
      1048576           250      5706371209      5776486599      5751667192.60                      1.18
      2097152           250     11504368771     11539115796     11513323160.78                      1.17
