Using OpenSHMEM version 1.3
Created all test list.
Will be running with 128 different tests
Will be running with 22 different size configurations
Using OpenSHMEM version 1.3
Running tests

#---------------------------------------------------
# Benchmarking shmem_local_read 
# #processes = 2
#---------------------------------------------------
       #bytes  #repetitions     t_min[nsec]     t_max[nsec]       t_avg[nsec]      Bw_aggregated[MB/sec]
       #bytes  #repetitions     t_min[nsec]     t_max[nsec]       t_avg[nsec]      Bw_aggregated[MB/sec]
            8          1000            7283           11955            7423.67                      6.95
           16          1000            9329           11414            9509.24                     10.85
           32          1000           13494           33790           13658.58                     15.10
           64          1000           21737           46715           21961.17                     18.79
          128          1000           38169          114013           38578.90                     21.39
          256          1000           71044           95397           71594.42                     23.05
          512          1000          136608          168529          137756.02                     23.96
         1024          1000          268026          351529          270238.05                     24.43
         2048          1000          531184          694866          534922.53                     24.68
         4096          1000         1057823         1343960         1064487.75                     24.81
         8192          1000         2115044         2334873         2124237.77                     24.86
        16384          1000         4227975         4758353         4243950.83                     24.89
        32768           500         8453233         8689642         8481748.28                     24.91
        65536           500        16913679        17484766        16967738.81                     24.90
       131072           500        33881616        34430317        33943747.79                     24.90
       262144           500        67820702        68402054        67905543.47                     24.89
       524288           500       135705664       136369922       135821163.27                     24.89
      1048576           250       271491556       272168383       271652978.23                     24.89
      2097152           250       543050142       544026358       543328826.35                     24.88
      4194304           250      1086168860      1087274862      1086652972.84                     24.89
      8388608           100      2172875246      2174482993      2173444721.16                     24.88
     16777216           100      4345728243      4372212127      4347000275.96                     24.88

#---------------------------------------------------
# Benchmarking shmem_long_p 
# #processes = 2
#---------------------------------------------------
       #bytes  #repetitions     t_min[nsec]     t_max[nsec]       t_avg[nsec]      Bw_aggregated[MB/sec]
            8          1000            6232            9945            6375.53                      8.09
           16          1000            7283           29347            7450.68                     13.85
           32          1000            9337           81182            9563.40                     21.57
           64          1000           13424           35943           13650.57                     30.23
          128          1000           21708           47186           21959.30                     37.58
          256          1000           38125           64152           38565.36                     42.80
          512          1000           71120           96008           71725.11                     46.02
         1024          1000          136839          161181          138012.73                     47.84
         2048          1000          268642          292560          270585.50                     48.80
         4096          1000          532575          718797          536045.98                     49.26
         8192          1000         1058270         1145024         1065552.22                     49.57
        16384          1000         2115076         2493609         2126334.90                     49.68
        32768           500         4229943         4610955         4246737.94                     49.75
        65536           500         8462552         8838483         8485567.21                     49.79
       131072           500        16923229        17489555        16962493.23                     49.82
       262144           500        33845382        34396131        33915334.47                     49.83
       524288           500        67719824        68282981        67808349.19                     49.85
      1048576           250       135503933       136136030       135645724.66                     49.84
      2097152           250       270997392       271735089       271233561.57                     49.85
      4194304           250       542021874       543201926       542361440.03                     49.86
      8388608           100      1083756480      1086093235      1084726350.57                     49.86
     16777216           100      2169586821      2196816982      2170589560.70                     49.83

#---------------------------------------------------
# Benchmarking shmem_longlong_p 
# #processes = 2
#---------------------------------------------------
       #bytes  #repetitions     t_min[nsec]     t_max[nsec]       t_avg[nsec]      Bw_aggregated[MB/sec]
            8          1000            6248            9940            6370.13                      8.10
           16          1000            7283            9818            7412.10                     13.92
           32          1000            9308           12241            9484.47                     21.75
           64          1000           13424           21396           13614.67                     30.31
          128          1000           21669          128248           22463.21                     36.74
          256          1000           38039           62142           38378.36                     43.01
          512          1000           70873           87323           71360.83                     46.26
         1024          1000          136452          220340          137660.42                     47.96
         2048          1000          267737          292014          269239.76                     49.04
         4096          1000          530287          575232          533015.31                     49.54
         8192          1000         1056068         1259723         1060741.89                     49.79
        16384          1000         2108097         2292663         2115625.26                     49.93
        32768           500         4214177         4490041         4227898.95                     49.97
        65536           500         8427173         8952766         8450576.05                     50.00
       131072           500        16857546        17253238        16895525.74                     50.02
       262144           500        33742419        34323750        33792218.99                     50.01
       524288           500        67509161        68063821        67571615.57                     50.02
      1048576           250       135043668       135638601       135161361.73                     50.02
      2097152           250       270158797       271059497       270310928.69                     50.02
      4194304           250       540284955       541366797       540552906.00                     50.03
      8388608           100      1080524240      1081598152      1081025036.04                     50.03
     16777216           100      2161290331      2163608630      2162384500.81                     50.02

#---------------------------------------------------
# Benchmarking shmem_float_p 
# #processes = 2
#---------------------------------------------------
       #bytes  #repetitions     t_min[nsec]     t_max[nsec]       t_avg[nsec]      Bw_aggregated[MB/sec]
            8          1000            7259           32917            7463.51                      6.91
           16          1000            9345           30091            9519.72                     10.84
           32          1000           13479           29563           13650.94                     15.11
           64          1000           21682           93574           22001.75                     18.75
          128          1000           38161           60368           38485.50                     21.44
          256          1000           71166           94323           71608.24                     23.05
          512          1000          136875          162333          137799.68                     23.95
         1024          1000          268689          351498          270360.13                     24.42
         2048          1000          531732          559831          534902.05                     24.68
         4096          1000         1060014         1188029         1065026.56                     24.80
         8192          1000         2117083         2337631         2125028.40                     24.85
        16384          1000         4231776         4611660         4245327.44                     24.88
        32768           500         8458834         8850916         8485225.76                     24.90
        65536           500        16915559        17312272        16964840.47                     24.91
       131072           500        33883532        34496585        33933222.92                     24.90
       262144           500        67789111        68380146        67865410.09                     24.90
       524288           500       135644438       136324928       135738449.10                     24.90
      1048576           250       271322512       272233884       271463359.38                     24.90
      2097152           250       542684549       543629086       542932290.08                     24.90
      4194304           250      1085439060      1112206502      1086007337.41                     24.90
      8388608           100      2171145412      2172890875      2171818793.60                     24.90
     16777216           100      4342294963      4344758797      4343320282.31                     24.90

#---------------------------------------------------
# Benchmarking shmem_double_p 
# #processes = 2
#---------------------------------------------------
       #bytes  #repetitions     t_min[nsec]     t_max[nsec]       t_avg[nsec]      Bw_aggregated[MB/sec]
            8          1000            6240           25847            6388.65                      8.07
           16          1000            7252           32584            7440.43                     13.86
           32          1000            9337           11336            9483.28                     21.76
           64          1000           13424           37282           13654.63                     30.22
          128          1000           21682           36354           21909.70                     37.67
